NAME,NTEE1,"Full Address",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"ST AUGUSTINE DIOCESAN COUNCIL SOCIETY OF ST VINCENT DE PAUL INC",S,"SOCIETY OF SVDP 3512 BEACH BLV JACKSONVILLE, FL 32207",30.290839,-81.631465,0.5,place,,,,,Jacksonville,FL,"Duval County",32207,US,"TIGER/Line® dataset from the US Census Bureau"
"CIVITAN INTERNATIONAL",S,"4346 BAY FOREST TER JACKSONVILLE, FL 32277",30.382526,-81.609838,1,rooftop,4346,"Bay Forest Ter",,,Jacksonville,FL,"Duval County",32277,US,Duval
"NORTHSIDE BUSINESS LEADERS CHARITIES INC",S,"PO BOX 28554 JACKSONVILLE, FL 32226",30.389438,-81.680806,0.5,place,28554,"PO Box",,,Jacksonville,FL,"Duval County",32226,US,"TIGER/Line® dataset from the US Census Bureau"
"FIRST COAST HISPANIC CHAMBER OF COMMERCE COMMUNITY DEVELOPMENT INC",S,"PO BOX 57972 JACKSONVILLE, FL 32241",30.389438,-81.680806,0.5,place,57972,"PO Box",,,Jacksonville,FL,"Duval County",32241,US,"TIGER/Line® dataset from the US Census Bureau"
"DINSMORE CIVIC ASSOCIATION INC",S,"11225 OLD KINGS RD JACKSONVILLE, FL 32219",30.43696,-81.771483,1,rooftop,11225,"Old Kings Rd",,,Jacksonville,FL,"Duval County",32219,US,Duval
"DECHOMAI ASSET TRUST",T,"3713 PINE ST JACKSONVILLE, FL 32205",30.293553,-81.706336,1,rooftop,3713,"Pine St",,,Jacksonville,FL,"Duval County",32205,US,Duval
"INSETTA FAMILY FOUNDATION INC",T,"3600 DARNALL PL JACKSONVILLE, FL 32217",30.225358,-81.621543,1,rooftop,3600,"Darnall Pl",,,Jacksonville,FL,"Duval County",32217,US,Duval
"KNIGHTS OF COLUMBUS",Y,"4863 SAN CLERC RD JACKSONVILLE, FL 32217",30.226148,-81.599164,1,rooftop,4863,"San Clerc Rd",,,Jacksonville,FL,"Duval County",32217,US,Duval
"YCCP INC",S,"3015 PARENTAL HOME RD JACKSONVILLE, FL 32216",30.27082,-81.591041,1,rooftop,3015,"Parental Home Rd",,,Jacksonville,FL,"Duval County",32216,US,Duval
"FIS FOUNDATION INC",T,"601 RIVERSIDE AVE JACKSONVILLE, FL 32204",30.319221,-81.674122,1,rooftop,601,"Riverside Ave",,,Jacksonville,FL,"Duval County",32204,US,Duval
"WILLIAM AND BETTY CODY FOUNDATION INC",T,"10240 HEATHER GLEN DR JACKSONVILLE, FL 32256",30.211538,-81.540599,1,rooftop,10240,"Heather Glen Dr",,,Jacksonville,FL,"Duval County",32256,US,Duval
"CSX FOUNDATION INC",T,"500 WATER ST JACKSONVILLE, FL 32202",30.324411,-81.663996,1,rooftop,500,"Water St",,,Jacksonville,FL,"Duval County",32202,US,Duval
"ROTARY D6970 YOUTH EXHANGE INC",S,"PO BOX 47195 JACKSONVILLE, FL 32247",30.389438,-81.680806,0.5,place,47195,"PO Box",,,Jacksonville,FL,"Duval County",32247,US,"TIGER/Line® dataset from the US Census Bureau"
"KNIGHTS OF COLUMBUS",Y,"731 DUVAL STATION RD STE 107411 JACKSONVILLE, FL 32218",30.485542,-81.604988,1,rooftop,731,"Duval Station Rd",Ste,107411,Jacksonville,FL,"Duval County",32218,US,Duval
"AMERICAN CULINARY FEDERATION FIRST COAST CHAPTER INC",S,"3939 HUNTERS LAKE CIR W JACKSONVILLE, FL 32210",30.263913,-81.777727,1,rooftop,3939,"Hunters Lake Cir W",,,Jacksonville,FL,"Duval County",32210,US,Duval
"VIKING ASSOCIATION INC",W,"9889 SAN JOSE BLVD STE 1 JACKSONVILLE, FL 32257",30.19817,-81.62003,1,rooftop,9889,"San Jose Blvd",Ste,1,Jacksonville,FL,"Duval County",32257,US,Duval
"FILIPINO AMERICAN VETERANS SOCIETY",W,"557 SEASPRAY AVE ATLANTIC BCH, FL 32233",30.329682,-81.405589,1,rooftop,557,"Seaspray Ave",,,"Atlantic Beach",FL,"Duval County",32233,US,Duval
"S T KILLIAN FAMILY FOUNDATION INC",T,"135 W BAY ST STE 400 JACKSONVILLE, FL 32202",30.327132,-81.66037,1,rooftop,135,"Bay St W",Ste,400,Jacksonville,FL,"Duval County",32202,US,Duval
"THE MAGNOLIA FOUNDATION INC",T,"9802 BAYMEADOWS RD STE 12 PMB 201 JACKSONVILLE, FL 32256",30.218061,-81.553193,1,rooftop,9802,"Baymeadows Rd",Ste,12,Jacksonville,FL,"Duval County",32256,US,Duval
"ASSOCIATION OF US MILITARY VETERANS",W,"8336 CANDLEWOOD COVE TRL JACKSONVILLE, FL 32244",30.199214,-81.760227,1,rooftop,8336,"Candlewood Cove Trl",,,Jacksonville,FL,"Duval County",32244,US,Duval
"STRENGTH OUTREACH AND LEADERSHIP CONNECTION INCORPORATED",W,"3444 CRANE HILL CT ORANGE PARK, FL 32065",30.17029,-81.817255,1,rooftop,3444,"Crane Hill Ct",,,"Orange Park",FL,"Clay County",32065,US,"Clay County"
"AMERICAN MARKETING ASSOCIATION INC",S,"25 N MARKET ST SUITE 117 JACKSONVILLE, FL 32202",30.325886,-81.653842,1,rooftop,25,"Market St N",Ste,117,Jacksonville,FL,"Duval County",32202,US,Duval
"LEADERSHIP GROWTH INSTITUTE INC",W,"10075 GATE PKWY N APT 3010 JACKSONVILLE, FL 32246",30.260944,-81.535091,1,rooftop,10075,"Gate Pkwy N",Apt,3010,Jacksonville,FL,"Duval County",32246,US,Duval
"PARC FOUNDATION INC",T,"8649 BAYPINE RD BLDG 7 SUITE 101 JACKSONVILLE, FL 32256",30.229597,-81.579724,1,rooftop,8649,"Baypine Rd",Bldg,7,Jacksonville,FL,"Duval County",32256,US,Duval
"WE FILIPINOS INC",T,"5607 UNIVERSITY BLVD W JACKSONVILLE, FL 32216",30.271863,-81.609605,1,rooftop,5607,"University Blvd W",,,Jacksonville,FL,"Duval County",32216,US,Duval
"BACKWOODS BEARS CLUB INC",T,"11471 BELVA RD JACKSONVILLE, FL 32218",30.447291,-81.590038,1,rooftop,11471,"Belva Rd",,,Jacksonville,FL,"Duval County",32218,US,Duval
"TRAGER FAMILY FOUNDATION INC",T,"5150 BELFORT RD BLDG 100 JACKSONVILLE, FL 32256",30.244894,-81.584023,1,rooftop,5150,"Belfort Rd",Bldg,100,Jacksonville,FL,"Duval County",32256,US,Duval
"JAMES O BUCK FAMILY FOUNDATION",T,"9137 MERRILL RD JACKSONVILLE, FL 32225",30.35298,-81.547751,1,rooftop,9137,"Merrill Rd",,,Jacksonville,FL,"Duval County",32225,US,Duval
"STRONG COMMUNITIES REALTY CORPORATION",S,"40 E ADAMS ST STE 210 JACKSONVILLE, FL 32202",30.327319,-81.656669,1,rooftop,40,"Adams St E",Ste,210,Jacksonville,FL,"Duval County",32202,US,Duval
"RESIDENT ADVISORY BOARD",Y,"1085 GOLFAIR BLVD JACKSONVILLE, FL 32209",30.366249,-81.671453,1,rooftop,1085,"Golfair Blvd",,,Jacksonville,FL,"Duval County",32209,US,Duval
"COMMUNITY DEVELOPMENT COALITION CORPORATION",S,"8237 BAY TREE LN JACKSONVILLE, FL 32256",30.179084,-81.523964,1,rooftop,8237,"Bay Tree Ln",,,Jacksonville,FL,"Duval County",32256,US,Duval
"TOASTMASTERS INTERNATIONAL",W,"4654 CUMBERLAND TRACE WAY JACKSONVILLE, FL 32257",30.208409,-81.595569,1,rooftop,4654,"Cumberland Trace Way",,,Jacksonville,FL,"Duval County",32257,US,Duval
"HATUA INTERNATIONAL INC",T,"1848 REAR ADMIRAL LN ST JOHNS, FL 32259",30.11736,-81.597634,1,rooftop,1848,"Rear Admiral Ln",,,"Saint Johns",FL,"St. Johns County",32259,US,"St Johns"
"SCENIC JACKSONVILLE INC",S,"PO BOX 380046 JACKSONVILLE, FL 32205",30.389438,-81.680806,0.5,place,380046,"PO Box",,,Jacksonville,FL,"Duval County",32205,US,"TIGER/Line® dataset from the US Census Bureau"
"TOMORROWS FUTURE FOUNDATION INC",T,"3948 3RD STREET SOUTH SUITE 42 JACKSONVILLE BEACH, FL 32250",30.258308,-81.391973,1,rooftop,3948,"3rd St S",Ste,42,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"UIBLE-MORRIS FAMILY FOUNDATION INC",T,"4339 ROOSEVELT BLVD STE 400 JACKSONVILLE, FL 32210",30.283816,-81.719712,1,rooftop,4339,"Roosevelt Blvd",Ste,400,Jacksonville,FL,"Duval County",32210,US,Duval
"BEACHES VETERANS MEMORIAL PARK INC",W,"915 8TH AVE S JAX BCH, FL 32250",30.279954,-81.397246,1,rooftop,915,"8th Ave S",,,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"REVITIALIZE ARLINGTION INC",S,"9000 REGENCY SQUARE BLVD STE 211 JACKSONVILLE, FL 32211",30.325366,-81.559842,1,rooftop,9000,"Regency Square Blvd",Ste,211,Jacksonville,FL,"Duval County",32211,US,Duval
"AMERICAN LEGION AUXILIARY",W,"3662 SPRING PARK RD JACKSONVILLE, FL 32207",30.289363,-81.625396,1,rooftop,3662,"Spring Park Rd",,,Jacksonville,FL,"Duval County",32207,US,Duval
"WOLFSON FAMILY FOUNDATION",T,"PO BOX 4 JACKSONVILLE, FL 32201",30.389438,-81.680806,0.5,place,4,"PO Box",,,Jacksonville,FL,"Duval County",32201,US,"TIGER/Line® dataset from the US Census Bureau"
"WINESTOCK FOUNDATION INC",T,"1650 MARGARET ST STE 302 JACKSONVILLE, FL 32204",30.311649,-81.680931,1,rooftop,1650,"Margaret St",Ste,302,Jacksonville,FL,"Duval County",32204,US,Duval
"ROTARY CLUB OF MANDARIN CHARITIES INC",S,"PO BOX 23376 JACKSONVILLE, FL 32241",30.389438,-81.680806,0.5,place,23376,"PO Box",,,Jacksonville,FL,"Duval County",32241,US,"TIGER/Line® dataset from the US Census Bureau"
"NAVY NURSE CORPS ASSOCIATION",W,"8663 SANCHEZ RD JACKSONVILLE, FL 32217",30.222708,-81.608341,1,rooftop,8663,"Sanchez Rd",,,Jacksonville,FL,"Duval County",32217,US,Duval
"FAMILY LIFE FELLOWSHIP INC",S,"5141 SIESTA DEL RIO DR JACKSONVILLE, FL 32258",30.135682,-81.572201,1,rooftop,5141,"Siesta Del Rio Dr",,,Jacksonville,FL,"Duval County",32258,US,Duval
"CHILDRENS FOUNDATION OF EXCHANGE CLUB OF JACKSONVILLE BEACHES INC",S,"427 3RD ST N JAX BCH, FL 32250",30.292337,-81.392154,1,rooftop,427,"3rd St N",,,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"DUNAMIS COMMUNITY DEVELOPMENT CORPORATION",S,"11201 PINE ST JACKSONVILLE, FL 32258",30.172893,-81.549352,1,rooftop,11201,"Pine St",,,Jacksonville,FL,"Duval County",32258,US,Duval
"MCCANN FAMILY CHARITABLE FOUNDATION INC",T,"135 2ND AVE N STE 3 JAX BCH, FL 32250",30.29147,-81.390994,1,rooftop,135,"2nd Ave N",Ste,3,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"JOSEPH AND GERTRUDE LAROSE FOUNDATION INC",T,"611 DORLEANS CT JACKSONVILLE, FL 32211",30.323938,-81.592104,1,rooftop,611,"Dorleans Ct",,,Jacksonville,FL,"Duval County",32211,US,Duval
"JACKSONVILLE GULLAH GEECHEE NATION COMMUNITY DEV CORP",S,"250 LAYNE BLVD APT 201 HALLANDLE BCH, FL 33009",25.983987,-80.130409,1,rooftop,250,"Layne Blvd",Apt,201,"Hallandale Beach",FL,"Broward County",33009,US,Broward
"NORTHEAST FLORIDA WOMEN VETERANS INC",W,"103 CENTURY DR JACKSONVILLE, FL 32216",30.345714,-81.551705,0.68,street_center,,"Sentry Dr",,,Jacksonville,FL,"Duval County",32225,US,"TIGER/Line® dataset from the US Census Bureau"
"FLORIDA EAST COAST RAILWAY SANTA TRAIN INC",W,"7150 PHILIPS HWY JACKSONVILLE, FL 32256",30.240202,-81.600181,1,rooftop,7150,"Philips Hwy",,,Jacksonville,FL,"Duval County",32256,US,Duval
"THE BRUT FAMILY FOUNDATION",T,"3254 JULINGTON CREEK RD JACKSONVILLE, FL 32223",30.137901,-81.625619,1,rooftop,3254,"Julington Creek Rd",,,Jacksonville,FL,"Duval County",32223,US,Duval
"SMITH-JACOBS FAM FOUNDATION",T,"5321 HALA CT JACKSONVILLE, FL 32224",30.24723,-81.443839,1,rooftop,5321,"Hala Ct",,,Jacksonville,FL,"Duval County",32224,US,Duval
"THOMAS FAMILY FOUNDATION",T,"3918 ALHAMBRA DR W JACKSONVILLE, FL 32207",30.286236,-81.660817,1,rooftop,3918,"Alhambra Dr W",,,Jacksonville,FL,"Duval County",32207,US,Duval
"BENZ FAM FOUNDATION",T,"675 BEACH AVE ATLANTIC BCH, FL 32233",30.331687,-81.395995,1,rooftop,675,"Beach Ave",,,"Atlantic Beach",FL,"Duval County",32233,US,Duval
"THE RALPH F AND EDNA M JONES FOUNDATION",T,"11844 MANDARIN RD JACKSONVILLE, FL 32223",30.166947,-81.643805,1,rooftop,11844,"Mandarin Rd",,,Jacksonville,FL,"Duval County",32223,US,Duval
"MARYELLEN S WILLIS CHARITABLE TR UA 11012010",T,"4530-15 ST JOHNS AVE 405 JACKSONVILLE, FL 32210",30.28853,-81.72106,1,nearest_rooftop_match,4530,"St Johns Ave",,405,Jacksonville,FL,"Duval County",32210,US,Statewide2
"HALCYON FOUNDATION",T,"501 RIVERSIDE AVE STE 600 JACKSONVILLE, FL 32202",30.320501,-81.674247,1,rooftop,501,"Riverside Ave",Ste,600,Jacksonville,FL,"Duval County",32202,US,Duval
"JAY & DEANIE STEIN FOUNDATION TRUST",T,"8265 BAYBERRY RD JACKSONVILLE, FL 32256",30.219234,-81.581803,1,rooftop,8265,"Bayberry Rd",,,Jacksonville,FL,"Duval County",32256,US,Duval
"HR FLORIDA STATE COUNCIL INC",S,"341 BELL BRANCH LN SAINT JOHNS, FL 32259",30.099119,-81.592717,1,rooftop,341,"Bell Branch Ln",,,"Saint Johns",FL,"St. Johns County",32259,US,"St Johns"
"W W AND ELOISE D GAY FOUNDATION",T,"524 STOCKTON ST JACKSONVILLE, FL 32204",30.321502,-81.693199,1,rooftop,524,"Stockton St",,,Jacksonville,FL,"Duval County",32204,US,Duval
"METRO NORTH COMMUNITY DEVELOPMENT CORP",S,"3103 N MAIN ST JACKSONVILLE, FL 32206",30.357247,-81.65368,1,rooftop,3103,"Main St N",,,Jacksonville,FL,"Duval County",32206,US,Duval
"NORTHWEST JACKSONVILLE COMMUNITY DEVELOPMENT CORPORATION",S,"1122 GOLFAIR BLVD JACKSONVILLE, FL 32209",30.364738,-81.671815,1,rooftop,1122,"Golfair Blvd",,,Jacksonville,FL,"Duval County",32209,US,Duval
"SHOUVLIN FOUNDATION",T,"3124 ANTIGUA DR JAX BCH, FL 32250",30.264619,-81.394294,1,rooftop,3124,"Antigua Dr",,,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"JOHN P GREEN JR CHARITABLE FOUNDATION TRUST",T,"9000 SOUTHSIDE BLVD BLDG 400 FL9-40 JACKSONVILLE, FL 32256",30.193831,-81.553836,1,rooftop,9000,"Southside Blvd",Bldg,400,Jacksonville,FL,"Duval County",32256,US,Duval
"DAVID R GOSSELIN FAMILY FOUNDATION",T,"9000 SOUTHSIDE BLVD BLDG 400 FL9-40 JACKSONVILLE, FL 32256",30.193831,-81.553836,1,rooftop,9000,"Southside Blvd",Bldg,400,Jacksonville,FL,"Duval County",32256,US,Duval
"BCBSF VOLUNTARY EMPLOYEES BENEFICIARY ASSOCIATION",Y,"4800 DEERWOOD CAMPUS PKWY JACKSONVILLE, FL 32246",30.257038,-81.54463,1,rooftop,4800,"Deerwood Campus Pkwy",,,Jacksonville,FL,"Duval County",32246,US,Duval
"SUDANESE COMMUNITY ASSOCIATION IN JACKSONVILLE FL INC",S,"PO BOX 11799 JACKSONVILLE, FL 32239",30.389438,-81.680806,0.5,place,11799,"PO Box",,,Jacksonville,FL,"Duval County",32239,US,"TIGER/Line® dataset from the US Census Bureau"
"BOSELLI FOUNDATION",T,"PO BOX 16385 JACKSONVILLE, FL 32245",30.389438,-81.680806,0.5,place,16385,"PO Box",,,Jacksonville,FL,"Duval County",32245,US,"TIGER/Line® dataset from the US Census Bureau"
"GRACE AND TRUTH COMMUNITY DEVELOPMENT CORPORATION",S,"932 N SHORE DR JACKSONVILLE, FL 32208",30.380088,-81.671245,1,rooftop,932,"N Shore Dr",,,Jacksonville,FL,"Duval County",32208,US,Duval
"THE REIN FAMILY FOUNDATION",T,"7000 WENSLEY WAY JACKSONVILLE, FL 32217",30.248515,-81.639229,1,rooftop,7000,"Wensley Way",,,Jacksonville,FL,"Duval County",32217,US,Duval
"JASMYN PROPERTIES INC",S,"929 PENINSULAR PL JACKSONVILLE, FL 32204",30.318778,-81.679829,1,rooftop,929,"Peninsular Pl",,,Jacksonville,FL,"Duval County",32204,US,Duval
"ROTARY INTERNATIONAL",S,"4446 HENDRICKS AVE 1A PMB 358 JACKSONVILLE, FL 32207",30.275029,-81.651129,1,rooftop,4446,"Hendricks Ave",,358,Jacksonville,FL,"Duval County",32207,US,Duval
"ROTH FOUNDATION INC",T,"3924 SUMMER CHASE CT LAKE WORTH, FL 33467",26.619413,-80.178891,1,rooftop,3924,"Summer Chase Ct",,,"Lake Worth",FL,"Palm Beach County",33467,US,"Palm Beach County"
"KNIGHTS OF COLUMBUS",Y,"11221 WATER SPRING CIR JACKSONVILLE, FL 32256",30.206657,-81.506035,1,rooftop,11221,"Water Spring Cir",,,Jacksonville,FL,"Duval County",32256,US,Duval
"INSTITUTE OF REAL ESTATE MANAGEMENT OF THE NATL ASSN OF REALTORS",S,"2628 ASHFIELD CT ST AUGUSTINE, FL 32092",30.055804,-81.527851,1,rooftop,2628,"Ashfield Ct",,,"Saint Augustine",FL,"St. Johns County",32092,US,"St Johns"
"LEIPOLD FOUNDATION INC",T,"125 FLEET LANDING BLVD ATLANTIC BCH, FL 32233",30.349887,-81.410754,1,rooftop,125,"Fleet Landing Blvd",,,"Atlantic Beach",FL,"Duval County",32233,US,Duval
"NAVY SEABEE VETERANS OF AMERICA",W,"1586 NE 145TH ST MIAMI, FL 33161",25.909118,-80.167575,1,range_interpolation,1586,"NE 145th St",,,Miami,FL,"Miami-Dade County",33161,US,"TIGER/Line® dataset from the US Census Bureau"
"BETHESDA FOUNDATION INC",T,"4446 HENDRICKS AVE 333 JACKSONVILLE, FL 32207",30.275029,-81.651129,1,rooftop,4446,"Hendricks Ave",,333,Jacksonville,FL,"Duval County",32207,US,Duval
"MAGNOLIA GARDENS NORTH NEIGHBORHOOD ASSOCIATION",S,"6050 GREENES PL JACKSONVILLE, FL 32209",30.376957,-81.712338,1,rooftop,6050,"Greenes Pl",,,Jacksonville,FL,"Duval County",32209,US,Duval
"ANTHONY JOHN CICALE FOUNDATION INC",T,"2430 KELLOW CIR JACKSONVILLE, FL 32216",30.302043,-81.598634,1,rooftop,2430,"Kellow Cir",,,Jacksonville,FL,"Duval County",32216,US,Duval
"RICHARD E BENNETT FOUNDATION",T,"917 1ST ST S UNIT 202 JAX BCH, FL 32250",30.279967,-81.387228,1,rooftop,917,"1st St S",Unit,202,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"METAMORPHOSIS WOMENS ENCOUNTER INC",S,"2684 SALT LAKE DR JACKSONVILLE, FL 32211",30.350797,-81.557248,1,rooftop,2684,"Salt Lake Dr",,,Jacksonville,FL,"Duval County",32211,US,Duval
"TOASTMASTERS INTERNATIONAL",W,"500 WATER ST HQ BLDG 7TH FLOOR JACKSONVILLE, FL 32202",30.324411,-81.663996,1,rooftop,500,"Water St",Bldg,7,Jacksonville,FL,"Duval County",32202,US,Duval
"SHRM OF JACKSONVILLE INC",S,"PO BOX 60155 JACKSONVILLE, FL 32236",30.389438,-81.680806,0.5,place,60155,"PO Box",,,Jacksonville,FL,"Duval County",32236,US,"TIGER/Line® dataset from the US Census Bureau"
"AMERICAN LEGION AUXILIARY",W,"1016 8TH ST N JAX BCH, FL 32250",30.297812,-81.400302,1,rooftop,1016,"8th St N",,,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"PBR FORCES VETERANS ASSOCIATION INC",W,"14015 SPANISH POINT DR JACKSONVILLE, FL 32225",30.363403,-81.475553,1,rooftop,14015,"Spanish Point Dr",,,Jacksonville,FL,"Duval County",32225,US,Duval
"TEACHING AND LEARNING FOUNDATION",T,"120 PALENCIA VILLAGE DR STE 137 ST AUGUSTINE, FL 32095",30.013362,-81.390367,1,rooftop,120,"Palencia Village Dr",Ste,137,"Saint Augustine",FL,"St. Johns County",32095,US,"St Johns"
"COMMUNITY DEVELOPMENT ASSOCIATION OF FLORIDA INC",S,"2179 EMERSON ST JACKSONVILLE, FL 32207",30.285332,-81.640337,1,rooftop,2179,"Emerson St",,,Jacksonville,FL,"Duval County",32207,US,Duval
"FIVE S T A R VETERANS CENTER INC",W,"40 ACME ST JACKSONVILLE, FL 32211",30.315061,-81.572716,1,rooftop,40,"Acme St",,,Jacksonville,FL,"Duval County",32211,US,Duval
"JACKSONVILLE BEACHES LIONS FOUNDATION INC",S,"PO BOX 50555 JAX BCH, FL 32240",30.34494,-81.683107,0.5,place,50555,"PO Box",,,"Jacksonville Beach",FL,"Duval County",32240,US,"TIGER/Line® dataset from the US Census Bureau"
"JAMES WELDON JOHNSON BRANCH",W,"PO BOX 2851 JACKSONVILLE, FL 32203",30.389438,-81.680806,0.5,place,2851,"PO Box",,,Jacksonville,FL,"Duval County",32203,US,"TIGER/Line® dataset from the US Census Bureau"
"VETERAN ENFORCERS MOTORCYCLE ASSOCIATION VEMA",W,"4478 JUNCTION DR MIDDLEBURG, FL 32068",30.113523,-81.882344,1,rooftop,4478,"Junction Dr",,,Middleburg,FL,"Clay County",32068,US,"Clay County"
"AGLOW INTERNATIONAL",S,"116 BLUE SKY DR ST JOHNS, FL 32259",30.091221,-81.57533,1,rooftop,116,"Blue Sky Dr",,,"Saint Johns",FL,"St. Johns County",32259,US,"St Johns"
"REACH FELLOWSHIP OF JACKSONVILLE INC",S,"5285 SHAD RD STE 308 # 310 JACKSONVILLE, FL 32257",30.193613,-81.57878,1,rooftop,5285,"Shad Rd",Ste,308,Jacksonville,FL,"Duval County",32257,US,Duval
"FLORIDA PEST MANAGMENT FOUNDATION INC",T,"802 W HIGHWAY 390 LYNN HAVEN, FL 32444",30.229683,-85.657134,1,rooftop,802,"Hwy 390 W",,,"Lynn Haven",FL,"Bay County",32444,US,"Bay County"
"ALLISON GRAY BRODERICK FOUNDATION",T,"8535 HEATHER RUN DR N JACKSONVILLE, FL 32256",30.213524,-81.541137,1,rooftop,8535,"Heather Run Dr N",,,Jacksonville,FL,"Duval County",32256,US,Duval
"MICHAEL AND JANET SCHARF CHARITABLE FOUNDATION INC",T,"6636 EPPING FOREST WAY N JACKSONVILLE, FL 32217",30.252803,-81.641108,1,rooftop,6636,"Epping Forest Way N",,,Jacksonville,FL,"Duval County",32217,US,Duval
"ISC2 NE FLORIDA CHAPTER",W,"PO BOX 346 JACKSONVILLE, FL 32234",30.389438,-81.680806,0.5,place,346,"PO Box",,,Jacksonville,FL,"Duval County",32234,US,"TIGER/Line® dataset from the US Census Bureau"
"LINK-A1A FOUNDATION INC",S,"400 AND E BAY ST JACKSONVILLE, FL 32202",30.324669,-81.652698,1,rooftop,400,"Bay St E",,,Jacksonville,FL,"Duval County",32202,US,Duval
"FORTEGRA FOUNDATION",T,"10751 DEERWOOD PARK BLVD STE 200 JACKSONVILLE, FL 32256",30.248589,-81.531838,1,rooftop,10751,"Deerwood Park Blvd",Ste,200,Jacksonville,FL,"Duval County",32256,US,Duval
"LAMBROU ANDREWS FOUNDATION INC",T,"1863 RIVER RD JACKSONVILLE, FL 32207",30.303968,-81.658529,1,rooftop,1863,"River Rd",,,Jacksonville,FL,"Duval County",32207,US,Duval
"WISE OWL PROPERTIES INC",S,"10688 OLD ST AUGUSTINE RD JACKSONVILLE, FL 32257",30.181672,-81.607508,1,rooftop,10688,"Old St Augustine Rd",,,Jacksonville,FL,"Duval County",32257,US,Duval
"HENRY J PRILLWITZ TR FOR CHARITY UAD 5-10-94",T,"9304 ROSEWATER LN JACKSONVILLE, FL 32256",30.206784,-81.500319,1,rooftop,9304,"Rosewater Ln",,,Jacksonville,FL,"Duval County",32256,US,Duval
"GRASSY CREEK FOUNDATION",T,"221 N HOGAN ST JACKSONVILLE, FL 32202",30.328615,-81.659861,1,rooftop,221,"Hogan St N",,,Jacksonville,FL,"Duval County",32202,US,Duval
"NUTTER FAMILY FOUNDATION FOR EDUCATION",T,"2749 FOREST CIR JACKSONVILLE, FL 32257",30.198742,-81.644443,1,rooftop,2749,"Forest Cir",,,Jacksonville,FL,"Duval County",32257,US,Duval
"JACKSONVILLE UNITY PLAZA INC",S,"200 RIVERSIDE AVENUE SUITE 5 JACKSONVILLE, FL 32202",30.32297,-81.672614,1,rooftop,200,"Riverside Ave",Ste,5,Jacksonville,FL,"Duval County",32202,US,Duval
"BLUE CRESCENT CHARITIES",W,"PO BOX 2297 JACKSONVILLE, FL 32203",30.389438,-81.680806,0.5,place,2297,"PO Box",,,Jacksonville,FL,"Duval County",32203,US,"TIGER/Line® dataset from the US Census Bureau"
"COMMUNITY EXCELLENCE ALLIANCE INC",T,"10950 SAN JOSE BOULEVARD SUITE 177 JACKSONVILLE, FL 32223",30.176833,-81.629349,1,rooftop,10950,"San Jose Blvd",Ste,177,Jacksonville,FL,"Duval County",32223,US,Duval
"AMERICAN LEGION AUXILIARY",W,"6242 OLD SOUTEL CT JACKSONVILLE, FL 32219",30.377886,-81.743949,1,rooftop,6242,"Old Soutel Ct",,,Jacksonville,FL,"Duval County",32219,US,Duval
"CODE ON THE BEACH INC",S,"1672 GERALDINE DR JACKSONVILLE, FL 32205",30.290484,-81.716814,1,rooftop,1672,"Geraldine Dr",,,Jacksonville,FL,"Duval County",32205,US,Duval
"DDK FOUNDATION INC",T,"PO BOX 1279 PONTE VEDRA, FL 32004",30.131119,-81.407584,0.4,place,1279,"PO Box",,,"Ponte Vedra",FL,"St. Johns County",32004,US,"TIGER/Line® dataset from the US Census Bureau"
"COMMUNITY FIRST CARES FOUNDATION",T,"637 N LEE ST JACKSONVILLE, FL 32204",30.333561,-81.667955,1,rooftop,637,"Lee St N",,,Jacksonville,FL,"Duval County",32204,US,Duval
"WE CARE FUND INC",T,"8928 PROMINENCE PARKWAY NO 200 JACKSONVILLE, FL 32256",30.213856,-81.57261,1,rooftop,8928,"Prominence Pkwy",,200,Jacksonville,FL,"Duval County",32256,US,Duval
"CHARITY MINUTES INC",T,"PO BOX 551726 JACKSONVILLE, FL 32255",30.389438,-81.680806,0.5,place,551726,"PO Box",,,Jacksonville,FL,"Duval County",32255,US,"TIGER/Line® dataset from the US Census Bureau"
"MOTHERS STANDING IN THE GAP",R,"7901 BAYMEADOWS CIR E APT 467 JACKSONVILLE, FL 32256",30.228528,-81.560697,1,rooftop,7901,"Baymeadows Cir E",Apt,467,Jacksonville,FL,"Duval County",32256,US,Duval
"ZARNTO LEADERSHIP INSTITUTE",W,"1404 BROOKMONT AVE E JACKSONVILLE, FL 32211",30.335883,-81.56337,1,rooftop,1404,"Brookmont Ave E",,,Jacksonville,FL,"Duval County",32211,US,Duval
"CAVITE ASSOCIATION OF FLORIDA INC",R,"9577 BROMLEY CT JACKSONVILLE, FL 32244",30.196581,-81.811428,1,rooftop,9577,"Bromley Ct",,,Jacksonville,FL,"Duval County",32244,US,Duval
